LEK ,LEK,,    ,,LEFT TAG,LEFT TAG,RIGHT TAG,RIGHT TAG,,MORPHOLOGY,,,,,,,,,,,,HEMATOMAS,,LICE,,,COMMENTS,,,FECAL SAMPLES,,,,BLOOD SAMPLES-HEMATOCRIT,,,,,,,,,,,,,,,,,,,
2,North Lek,0,13 Mar 87,,green,302,green,301,adult,3400,790,303,312,121,70,71,20.7,36.6,21.7,,,,,,,,,fiesty,,-,-,-,,,,1,,,,,,,,,324,0,1,,,,,,
1,Long Lake,0,18 Mar 87,,green,305,green,304,juv,2400,703,248,310,129,68,73,20.3,36.1,21.1,xxxxx,xxxx,-,-,,-,-,,gray tongue,,+,+,-,,,-,0,+?,,,,,,,,325,0.63157895,0,,,,,,
6,Broken Wing,0, 5 Apr 87,,white,448,green,307,adult,3100,767,300,318,129,70,70,22.3,37.5,21.5,,,,,,0,0,,,,+,+,-,,,-,0,+?,,+,6,16,7,1,0.142857143,349,0,0,,,,,,
6,Broken Wing,0, 7 Apr 87,,,,green,311,adult,3350,730,331,314,152,75,61,25.15,36.9,22.75,yellow olive,bistre yellow,-,+,-,,,,,"bad sore, left wing",-,+,-,,,-,0,,,,8.5,16,,,,388,0,0,,,,,,
6,Broken Wing,0,14 Apr 87,4:45,blue,217,green,312,adult,3150,,,,,,,,,,,,-,++,-,0,0,,left sac covered hematomas,,-,+,-,,,-,0,,,,10,24.5,7,5,0.714285714,392,0.66666667,0,,,,,,
6,Broken Wing,0, 7 Apr 87,,blue,217,green,312,adult,3500,748,285,311,120,76,74,26.8,36.9,21.05,yellow olive,bistre yellow,-,++,-,,,,,,-,+,-,,,-,1,,,,12,23.5,,,,393,0.14285714,1,,,,,,
6,Broken Wing,0, 7 Apr 87,,orange, 17,green,313,adult,3400,820,332,306,141,72,70,23.6,39.95,22.05,yellow olive,bistre yellow,-,-,-,,,,,,-,+,-,,,-,0,,,,8,13.5,,,,394,0,0,,,,,,
6,Broken Wing,0, 9 Apr 87,4:05,green,315,green,314,adult,3350,788,317,325,146,72,76,25.9,39.95,22.55,yellow olive,bistre yellow,+,-,-,0,0,,,,-,+,-,,,-,0,,,,9.5,18,7,2,0.285714286,398,0.73333333,0,,,,,,
8,Mud Springs,0,11 Apr 87,4:20,green,312,green,316,adult,3200,650,309,316,126,67,61,26.1,37.6,23.8,greenish yellow,bistre yellow,-,-,-,0,0,,,,,,,,,-,0,+?,,,8,13.5,7,1,0.142857143,4,0,0,,,,,,
1,Long Lake,0, 2 Apr 87, ,orange, 14,green,322,adult,2900,696,294,307,145,65,72,23.5,37.6,23.4,xxxxx,xxxx,-,+,-,-,-,,fiesty,,-,+,-,,,-,0,,,,,,,,,401,0.61111111,0,,,,,,
7,Sybille Springs,0, 1 Apr 87,,red,119,green,323,adult,2850,687,230,315,110,64,69,25.3,38.8,26.1,apple green,bright yellow,-,+,-,,,,,,-,+,-,,,-,0,,,,18,32.5,,,,404,0.05,0,,,,,,
1,Long Lake,0,19 Mar 87,,blue,213,green,324,adult,3250,826,355,318,141,73,65,22,36.8,24.1,yellowish/green,xxxx,+,+,++,+,-,,"growth,rt tarsus, deformed ft",,+,+,-,,,-,0,+?,,,,,,,,405,0.5,0,,,,,,
1,Long Lake,0,18 Apr 87,4:40,white,419,green,325,adult,3100,,,,,,,,,,,,,+,,,6,,,,+,+,-,,,-,0,,,+,9,22,,,,407,0.05,0,,,,,,
1,Long Lake,0,19 Mar 87,,white,419,green,325,adult,3300,733,288,310,123,63,69,22.3,37.4,21.9,green,bistre-yellow,+,+,+,-,+,,nice guy,,++,+,-,,,-,0,,,+,,,19,12,0.631578947,408,0.15,0,,,,,,
8,Mud Springs,0,12 Apr 87,,purple,593,green,349,adult,3500,790,351,310,140,69,66,25.15,41,25.6,yellow olive,bistre yellow,-,-,-,,,,,,,,,,,-,0,,,,7.5,10.5,,,,411,0,0,,,,,,
2,North Lek,0,19 Apr 87,7:30,white,481,green,388,juv,2700,715,234,287,131,69,69,24.5,38.5,21.4,green,yellow,+,+,-,0,0,,,,-,+,-,,,-,1,,,,8.5,19,,,,414,0.2,1,,,,,,
5,Cordingly,0,16 Apr 87,4:40,green,396,green,392,adult,3000,,,,,,,,,,,,,,,,9,,,,-,+,-,,,-,0,,,,10,26,,,,415,0.2,0,,,,,,
5,Cordingly,0, 8 Apr 87,3:30,green,396,green,392,adult,3000,810,320,325,133,71,73,22.4,38.5,22.1,green,yellow,-,+,-,0,7,,,,-,+,-,,,-,1,,,,5.5,10,3,2,0.666666667,416,0,1,,,,,,
5,Cordingly,0,19 Apr 87,0:15,green,396,green,392,adult,2900,,,,,,,,,,,,,,,,93,,,,-,+,-,,,-,0,,,,11,21,,,,418,0.71428571,0,,,,,,
1,Long Lake,0,10 Apr 87,7:30,purple,562,green,393,adult,2950,690,240,312,131,71,72,19.5,39.1,21.5,yellow/green,yellow,+,+,-,0,0,yes,,,-,+,-,,,-,0,+?,,+,9,13.5,14,2,0.142857143,421,0.16666667,0,,,,,,
4,South Fetterman,0,12 Apr 87,5:00,green,395,green,394,adult,3100,675,239,306,133,69,70,23.5,38.5,21.8,yellow/green,greyish yellow,+,++,-,0,0,,,,-,+,-,,,-,1,,,,11,15,,,,442,0,1,,,,,,
2,North Lek,0, 4 Apr 87,,purple,573,green,398,adult,3400,751,329,309,150,72,65,27.36,39.96,20.88,yellow/green,bright yellow,-,+,-,,,,,,-,+,-,,,-,1,,+,,4,22,15,11,0.733333333,479,0,1,,,,,,
1,Long Lake,0,16 Mar 87,,purple,503,orange,4,adult,3500,780,319,312,132,71,73,22.6,37,21.5,,,-,+,,,many,,,,-,+,-,,,,0,,,,,,,,,480,0,0,,,,,,
2,North Lek,0,14 Mar 87,,white,402,white,401,adult,3400,771,307,304,135,70,72,21.4,37.7,20.6,,,,,,,,,,,-,-,-,,,,1,,,+,,,18,11,0.611111111,482,0,1,,,,,,
1,Long Lake,0,16 Mar 87,,orange,6,white,404,adult,3400,795,304,319,127,68,74,21.3,37.5,21.4,greenish/yellow,,,+,,,,,,,-,-,-,,,,1,,,,,,20,1,0.05,483,0.16666667,1,,,,,,
1,Long Lake,0,16 Mar 87,,blue,205,white,405,adult,3300,805,340,328,135,71,74,20.4,39.2,22.2,green,xxxx,,+,,+,+,,,,-,-,-,,,,0,,,,,,20,10,0.5,484,0,0,,,,,,
1,Long Lake,0,16 Mar 87,,red,104,white,407,adult,3300,785,314,316,133,71,72,23.9,38.8,22.8,xxxx,xxxx,,+,,,+,,,,-,+,-,,,,0,,,,,,20,1,0.05,487,0,0,,,,,,
1,Long Lake,0,18 Mar 87,,white,409,white,408,adult,3600,785,284,312,135,71,77,23.1,38.3,21.8,brilliant yellow,xxxx,-,+,,-,+,,,,-,+,-,,,-,0,,,,,,20,3,0.15,489,0.2,0,,,,,,
8,Mud Springs,0,11 Apr 87,4:35,red,116,white,411,juv,3000,700,269,296,128,66,70,24.8,39.45,23.55,lemon,bistre yellow,+++,+,-,0,0,,,,,,,,,-,0,,,,11.5,15,,,,495,0.5,0,,,,,,
6,Broken Wing,0,14 Apr 87,4:17,blue,294,white,414,adult,3500,781,331,295,135,74,68,22.8,38.75,24.65,olive yellow,bistre yellow,-,-,-,0,0,,,,-,+,-,,,-,1,+?,,,9,27,5,1,0.2,498,0,1,,,,,,
6,Broken Wing,0,14 Apr 87,4:50,green,348,white,415,adult,3100,892,312,313,141,72,70,22.75,37.35,24.05,yellow olive,bistre yellow,+,+,-,0,2,,,,-,+,-,,,-,1,,,,12,21.5,5,1,0.2,506,0,1,,,,,,
7,Sybille Springs,0,16 Apr 87,3:51,red,141,white,416,juv,2750,543,256,315,127,71,70,25.3,38.3,23.2,olive yel-yel olive,bistre yellow,+,++,+,0,0,,,,,,,,,-,0,+?,+,,8,23.5,,,,508,0,0,,,,,,
6,Broken Wing,0, 9 Apr 87,3:45,white,423,white ,418,adult,3150,744,311,304,136,69,66,23.3,38.9,20.9,olive yellow,bistre yellow,+,-,-,0,0,,,,-,+,-,,,-,0,,,,8.5,14.5,7,5,0.714285714,513,0.57142857,0,,,,,,
1,Long Lake,0, 2 Apr 87,,green,321,white,421,juv,2550,674,238,318,131,70,68,23.6,37.6,21.95,apple green,xxxx,+,+,-,-,-,,,,-,+,-,,,-,0,,,,,,18,3,0.166666667,516,0,0,,,,,,
8,Mud Springs,0,26 Apr 87,6:57,orange, 79,white,442,adult,2800,690,310,325,130,70,65,25.4,41.1,23.8,olive yellow,bistre yellow,-,+,-,0,2,,,,,,,,,,0,+?,,,,,,,,519,0.71428571,0,,,,,,
2,North Lek,0,19 Apr 87,,blue,251,white,479,juv,2800,732,231,309,125,70,72,23.3,38.9,21,yellow/green,golden yellow,+,+,-,0,0,mild,,,-,+,-,,,-,0,+?,,,12,20,,,,523,0.71428571,0,,,,,,
2,North Lek,0,19 Apr 87,7:50,red,181,white,480,juv,2600,700,216,299,132,71,65,21,36.7,23.7,yellow,yellow,+,-,-,0,0,,,,-,+,-,,,-,0,,+,,13,24,,,,560,0,0,,,,,,
2,North Lek,0,19 Apr 87,8:15,green,390,white,482,juv,3100,730,239,304,132,70,71,21.4,37.6,22.1,yellow/green,yellow,+,+,-,0,0,,,,-,+,-,,,-,0,,,,9.5,20.5,,,,563,0,0,,,,,,
7,Sybille Springs,0,17 Apr 87,,orange, 99,white,483,juv,2800,740,261,305,133,72,72,20.4,38.2,21.5,yellow/green,yellow,-,+,-,0,0,yes,,,,,,,,-,0,+?,,+,16.5,31,6,1,0.166666667,564,0,0,,,,,,
8,Mud Springs,0,14 Apr 87,4:15,orange, 98,white,484,adult,3550,811,327,304,139,71,72,23.1,40.3,21.7,yellow,yellow,-,-,-,0,1,,,,,,,,,,1,,,,,,,,,565,0,1,,,,,,
7,Sybille Springs,0,17 Apr 87,5:15,white,488,white,487,adult,3300,812,307,310,131,70,72,21.9,37.9,20.8,green,yellow green,-,-,-,0,1,,,,,,,,,-,1,,+,,12.5,23,,,,566,0.21428571,1,,,,,,
8,Mud Springs,0,14 Apr 87,4:00,blue,258,white,489,adult,3400,778,309,307,133,71,71,22.8,38.7,21.6,brilliant yellow,yellow green,-,-,-,0,0,,,,,,,,,,1,+?,+,,,,5,1,0.2,567,0.33333333,1,,,,,,
4,South Fetterman,0,12 Apr 87,4:00,white,496,white,495,adult,3300,705,238,308,134,70,71,20.8,38,21.9,yellow,yellow,-,-,-,0,0,,,,-,+,-,,,-,0,,,,8,11.5,4,2,0.5,568,0,0,,,,,,
5,Cordingly,0,11 Apr 87,4:15,white,499,white,498,adult,3450,772,304,308,137,69,71,24.8,38.8,21.5,green,green,-,+,-,0,0,,nasty gash on head,,-,-,-,,,-,0,+?,,+,8,17.5,,,,570,0,0,,,,,,
1,Long Lake,0,19 Mar 87,,green,306,purple,506,juv,2900,710,252,310,134,70,73,20.8,37.7,22.5,xxxxx,xxxx,-,-,,-,-,,,,+,+,-,,,-,1,+?,,,,,,,,571,0.5,1,,,,,,
1,Long Lake,0,18 Mar 87,,purple,509,purple,508,adult,3500,790,314,308,127,71,75,23.7,38.2,21.5,xxxxx,xxxx,-,++,,-,++,,,,+,+,-,,,-,0,,,,,,,,,574,0,0,,,,,,
8,Mud Springs,0,11 Apr 87,3:19,blue,225,purple,513,adult,3200,721,323,313,126,75,69,23.2,39.4,24.1,greenish yellow,chrome yellow,+,-,-,0,1,,,,,,,,,-,1,,,,10,13.5,7,4,0.571428571,583,0,1,,,,,,
6,Broken Wing,0, 6 Apr 87,,orange, 15,purple,516,adult,3450,709,284,317,121,70,69,26.2,38.1,23.95,yellow olive,chrome yellow,-,+,-,,,,"gash on rt breast, bleeding",,-,+,-,,,-,0,,,,4,6.5,,,,584,0.16666667,0,,,,,,
6,Broken Wing,0,14 Apr 87,5:35,green,320,purple,519,adult,3250,,,,,,,,,,,,-,+,-,0,0,,,,-,+,-,,,-,1,,,,12.5,24,7,5,0.714285714,591,0.42857143,1,,,,,,
6,Broken Wing,0, 6 Apr 87,     ,green,320,purple,519,adult,3650,746,314,300,135,71,77,23.5,39.9,24.75,olive yellow,bistre yellow,+,+,-,    ,    ,,,,-,+,-,,,-,1,,,,8,11,,,,596,0,1,,,,,,
6,Broken Wing,0, 9 Apr 87,4:25,purple,524,purple,523,adult,3500,721,286,302,160,71,68,24.2,39,22.45,olive yellow,bistre yellow,+,+,-,0,0,,,,-,+,-,,,-,1,,,,9,12.5,7,5,0.714285714,598,0.57142857,1,,,,,,
4,South Fetterman,0,13 Apr 87,,purple,561,purple,560,adult,3400,810,341,315,139,70,69,23.2,35.9,21.1,yellow,golden yellow,-,-,+,0,1,,,,,,-,,,-,0,,,,9,13.5,,,,9,0,0,,,,,,
1,Long Lake,0,10 Apr 87,5:55,red,193,purple,563,adult,3200,760,306,307,127,70,72,24.6,38.1,22.2,yellow,yellow,-,-,-,0,0,,,,-,+,-,,,-,0,,,,11,18.5,,,,501,0.77777778,0,,,,,,
1,Long Lake,0,10 Apr 87,7:10,white,500,purple,564,juv,3000,700,240,315,133,70,74,21.1,35.5,21.5,yellow,yellow,-,-,-,0,0,yes,,,-,+,-,,,-,0,,,,10.5,16,,,,522,0.75,0,,,,,,
1,Long Lake,0,10 Apr 87,6:43,orange, 92,purple,565,adult,3300,779,308,318,131,70,71,22,39.1,22.6,yellow,yellow,+,+,-,0,0,,"stressed out,release, got up",,-,+,-,,,-,0,+?,+,+,9.5,13.5,,,,444,0.125,0,,,,,,
1,Long Lake,0,10 Apr 87,5:25,blue,274,purple,566,adult,3300,764,305,310,131,69,71,23.9,37.5,22.4,green,yellow/green,-,-,-,0,0,,,,-,+,-,,,-,0,+?,+,,3.5,13,14,3,0.214285714,406,0.45,0,,,,,,
5,Cordingly,0, 8 apr 87,3:45,purple,575,purple,567,adult,3300,770,330,302,126,70,72,24,40.2,21.8,green,yellow,-,+,+,0,4,,,,-,+,-,,,-,0,+?,,,4.5,14,3,1,0.333333333,344,0.85714286,0,,,,,,
3,Windmill Dam,0, 5 Apr 87,,white,449,purple,568,adult,3400,762,301,302,126,69,70,24.5,39.6,22.2,,,,,,,9,,,,-,+,-,,,-,0,,,,7.5,12,,,,273,0.93333333,0,,,,,,
3,Windmill Dam,0, 5 Apr 87,,red,194,purple,570,adult,3600,781,302,315,124,72,69,25.2,38.4,22,green,,+,,,,16,,,,+,+,-,,,-,0,,,,8,14.5,,,,183,0.25,0,,,,,,
3,Windmill Dam,0, 5 Apr 87,,blue,271,purple,571,adult,3400,800,306,308,128,68,71,21.5,39.5,20.9,green,,+,+,,0,0,,,,+,+,-,,,-,0,+?,,,5.5,13.5,4,2,0.5,  5,0.4,0,,,,,,
2,North Lek,0, 4 Apr 87,,green,397,purple,574,juv,2600,685,266,303,135,67,65,21.71,38.78,20.25,yellow,yellow,-,+,-,,,,,,-,+,-,,,-,36,,,,10,19,,,,,,,,,,,,
7,Sybille Springs,0,16 Apr 87,3:30,blue,280,purple,583,adult,3100,740,291,296,145,72,66,21.1,41.4,23.85,olive yellow,bistre yellow,-,+,-,0,1,,hole in rt air sac,,,,,,,-,,+?,+?,+,11,21.5,,,,,,,,,,,,
7,Sybille Springs,0,17 Apr 87,5:00,blue,280,purple,583,adult,3300,,,,,,,,,,,,,,,,,,,,,,,,,-,,+?,,+,8,20.5,,,,,,,,,,,,
7,Sybille Springs,0,16 Apr 87,3:06,red,136,purple,584,adult,2700,715,278,305,145,72,67,23.05,40.35,23.05,olive yellow,bistre yellow,+,+,-,0,0,,,,,,,,,-,,,,,11,22,6,1,0.166666667,,,,,,,,,
7,Sybille Springs,0,15 Apr 87,6:03,green,343,purple,591,adult,3000,748,305,323,144,74,65,24.25,39.75,25.6,olive yellow,bistre yellow,-,-,-,0,0,yes,,,,,,,,,,+?,,,,,7,3,0.428571429,,,,,,,,,
8,Mud Springs,0,12 Apr 87,4:05,purple,599,purple,596,adult,3100,734,296,313,132,70,69,23.9,40.95,25.7,olive yellow,chrome yellow,+,+,-,0,0,,,,,,,,,-,,+?,,+,7,14,,,,,,,,,,,,
7,Sybille Springs,0,15 Apr 87,5:45,orange, 23,purple,598,adult,2800,710,331,308,127,68,65,21.95,40,21.1,olive yellow,bistre yellow,-,-,-,0,0,,,,,,,,,,,+?,,,,,7,4,0.571428571,,,,,,,,,
1,Long Lake,0,10 Mar 87,,orange,10,orange,9,adult,3500,785,310,310,150,75,72,25.5,39.4,20.3,xxxx,xxxx,,,,,,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,AVG PROP DAYS ON LEK,S ON LEK,,0.362708052,,,,,,,,,
BREEDING MALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,North Lek,1,14 Mar 87,,purple,502,purple,501,adult,3600,770,330,320,135,70,71,23.7,38,20.8,,,,,,,,,,,-,-,-,,,,,,,,,,18,14,0.777777778,,,,,,,,,
7,Sybille Springs,1, 8 Apr 87,4:07,purple,525,purple,522,adult,3350,765,327,309,138,66,67,23.25,38.6,23,yellow olive,greenish yellow,-,+,-,0,2,,,,,,,,,-,,,,,3,19.5,8,6,0.75,,,,,,,,,
1,Long Lake,1,16 Mar 87,,green,303,orange,5,adult,3200,760,295,314,136,71,71,24.7,38.8,21.5,brilliant yellow,,-,+,-,-,-,,lesion under left wing,,-,+,-,,,,,,,,,,,,,,,,,,,,,
8,Mud Springs,1, 9 Apr 87,5:00,white,447,white,444,adult,3400,730,292,316,131,71,73,24.8,37.4,21.7,green,yellow/green,+,-,-,0,0,,,,,,,,,-,,,,,8,13.5,8,1,0.125,,,,,,,,,
1,Long Lake,1,16 Mar 87,,purple,507,white,406,adult,3100,801,334,324,130,74,73,21.6,37.6,20.8,green,xxxx,,,,,,,,,-,+,-,,,-,,,,,,,20,9,0.45,,,,,,,,,
8,Mud Springs,1,12 Apr 87,6:20,white,413,green,344,adult,3100,740,332,301,125,75,65,23.3,38.6,24.75,olive yellow,bistre yellow,-,-,-,0,0,,even sac color,,,,,,,-,,,,,11,17,7,6,0.857142857,,,,,,,,,
2,North Lek,1, 4 Apr 87,,red,109,blue,273,adult,3200,750,325,299,136,67,65,25.66,36,17.45,yellow/green,yellow,-,+,-,,,,,,-,+,-,,,-,, ,, ,10.5,25,15,14,0.933333333,,,,,,,,,
1,Long Lake,1,18 Apr 87,4:50,green,389,red,183,adult,3100,770,273,309,135,69,71,27.2,41.4,21.8,yellow/green,yellow,+,-,-,0,0,,,,-,+,-,,,-,, ,, ,10,21.5,8,2,0.25,,,,,,,,,
1,Long Lake,1,10 Apr 87,5:25,green,303,orange,  5,adult,3150,,,,,,,,,,,,,,,,4,,,,-,+,-,,,-,,,,,7.5,12,20,8,0.4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVG PROP DAYS ON LEK,,,0.567906746,,,,,,,,,
